Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,1.36,1.37,1.393,1.35,1.359,1.353,1.375,1.406,1.407,1.279,1.302,1.287
2006,1.34,1.322,1.363,1.37,1.375,1.389,1.415,1.386,1.408,1.427,1.594,1.62
2007,1.605,1.64,1.654,1.637,1.698,1.735,1.75,1.714,1.701,1.771,1.784,1.809
2008,1.812,1.884,1.873,1.92,1.973,1.982,1.933,1.95,1.951,2.003,2.019,1.948
2009,1.974,1.97,1.943,1.914,1.885,1.848,1.875,1.835,1.866,1.893,1.809,1.757
2010,1.759,1.741,1.793,1.821,1.786,1.768,1.755,1.681,1.774,1.743,1.884,1.88
2011,1.884,1.864,1.895,1.929,1.911,1.938,1.85,1.974,2.073,2.041,2.093,2.073
2012,1.984,2.044,2.056,2.019,2.027,1.935,1.974,1.905,1.982,2.014,1.991,1.925
2013,2.078,2.025,2.024,2.046,2.071,2.057,2.056,2.036,2.011,1.976,2.045,2.076
2014,2.073,2.068,2.064,2.092,2.016,2.027,2.02,2.072,2.065,2.001,1.921,1.994
2015,1.948,2.024,2.042,2.008,2.041,1.957,1.963,1.956,2.008,1.978,2.028,1.949
2016,1.943,1.947,1.909,1.915,1.962,1.977,1.966,1.992,1.974,2.004,2.024,1.96
2017,1.975,1.986,1.929,2.014,1.974,2.032,1.967,2.025,1.986,2.009,2.024,1.97
2018,2.033,2.011,2.039,2.016,1.966,1.896,1.899,1.936,1.951,1.91,1.945,1.924
2019,1.94,1.951,1.962,1.952,1.941,1.905,1.951,1.94,1.935,1.948,1.943,1.964
2020,1.961,1.986,1.994,2.07,2.075,2.118,2.144,2.084,2.081,2.17,2.207,2.203
2021,2.175,2.203,2.196,2.209,2.151,2.026,2.1,2.076,2.102,2.175,2.094,2.099
2022,2.119,2.029,2.121,2.145,2.22,2.23,,,,,,
