Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,1.211,1.284,1.132,1.164,1.185,1.139,1.165,1.166,1.279,1.264,1.279,1.350
2006,1.449,1.328,1.302,1.283,1.206,1.242,1.213,1.244,1.254,1.257,1.354,1.543
2007,1.549,1.746,1.634,1.616,1.504,1.373,1.502,1.634,1.825,1.771,1.862,2.099
2008,2.175,2.168,2.203,2.069,1.930,1.920,2.011,1.854,1.978,1.858,1.838,1.834
2009,1.850,1.795,1.693,1.774,1.501,1.529,1.495,1.632,1.627,1.595,1.705,1.772
2010,1.789,1.872,1.822,1.779,1.523,1.494,1.441,1.519,1.753,1.456,1.675,1.793
2011,1.806,1.708,1.732,1.727,1.692,1.683,1.647,1.711,1.947,1.871,1.836,1.874
2012,1.939,1.798,1.774,1.829,1.691,1.670,1.648,1.884,1.889,1.960,1.963,2.007
2013,1.933,1.965,1.925,1.918,1.870,1.859,1.833,1.838,1.897,1.925,1.925,2.026
2014,2.008,1.998,2.061,2.119,1.996,1.948,1.950,1.979,1.970,1.951,2.032,2.210
2015,2.113,2.088,2.133,2.065,1.962,2.570,2.570,2.943,2.966,2.808,2.664,2.751
2016,2.328,2.267,2.081,1.793,1.684,1.491,1.546,1.455,1.471,1.390,1.321,1.383
2017,1.599,1.464,1.404,1.409,1.414,1.332,1.333,1.367,1.422,1.540,1.506,1.815
2018,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.660,1.596,1.595
2019,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535
2020,1.461,1.449,1.525,2.019,1.640,1.554,1.401,1.328,1.353,1.408,1.450,1.481
2021,1.466,1.597,1.625,1.620,1.625,1.642,1.642,1.709,1.835,1.821,1.718,1.788
