U.S. Census Bureau,
Source: Monthly Retail Trade and Food Services,
4451: Grocery Stores: U.S. Total,
Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 1992 to 2022,
"Data Extracted on: July 25, 2022 (8:22 pm)",
,
Period,Value
Jan-92,27835
Feb-92,27720
Mar-92,27848
Apr-92,27867
May-92,27987
Jun-92,28011
Jul-92,28183
Aug-92,28222
Sep-92,28122
Oct-92,28328
Nov-92,28184
Dec-92,28233
Jan-93,28220
Feb-93,28419
Mar-93,28307
Apr-93,28367
May-93,28386
Jun-93,28377
Jul-93,28554
Aug-93,28357
Sep-93,28478
Oct-93,28618
Nov-93,28625
Dec-93,28773
Jan-94,28722
Feb-94,28923
Mar-94,28914
Apr-94,29111
May-94,29025
Jun-94,29311
Jul-94,29149
Aug-94,29410
Sep-94,29545
Oct-94,29343
Nov-94,29520
Dec-94,29443
Jan-95,29791
Feb-95,29604
Mar-95,29619
Apr-95,29499
May-95,29763
Jun-95,29812
Jul-95,29675
Aug-95,29721
Sep-95,29735
Oct-95,29692
Nov-95,29858
Dec-95,29994
Jan-96,30105
Feb-96,29990
Mar-96,30125
Apr-96,30220
May-96,30245
Jun-96,30288
Jul-96,30493
Aug-96,30555
Sep-96,30565
Oct-96,30766
Nov-96,30768
Dec-96,30879
Jan-97,31030
Feb-97,30991
Mar-97,31109
Apr-97,31065
May-97,30987
Jun-97,30804
Jul-97,31022
Aug-97,31160
Sep-97,31171
Oct-97,31225
Nov-97,31125
Dec-97,31063
Jan-98,30989
Feb-98,30915
Mar-98,31123
Apr-98,31169
May-98,31358
Jun-98,31435
Jul-98,31673
Aug-98,31744
Sep-98,31702
Oct-98,31864
Nov-98,31920
Dec-98,32291
Jan-99,32225
Feb-99,32465
Mar-99,32419
Apr-99,32700
May-99,32776
Jun-99,32633
Jul-99,32891
Aug-99,32878
Sep-99,33121
Oct-99,32968
Nov-99,32972
Dec-99,34270
Jan-00,32239
Feb-00,32567
Mar-00,33117
Apr-00,33541
May-00,33221
Jun-00,33644
Jul-00,33479
Aug-00,33554
Sep-00,33729
Oct-00,33867
Nov-00,34071
Dec-00,34558
Jan-01,34229
Feb-01,34602
Mar-01,34477
Apr-01,34727
May-01,34781
Jun-01,34866
Jul-01,34792
Aug-01,35043
Sep-01,35152
Oct-01,35270
Nov-01,35414
Dec-01,35208
Jan-02,35130
Feb-02,35114
Mar-02,35160
Apr-02,34827
May-02,34941
Jun-02,34933
Jul-02,35044
Aug-02,34874
Sep-02,34865
Oct-02,34990
Nov-02,35157
Dec-02,35257
Jan-03,35669
Feb-03,35570
Mar-03,35549
Apr-03,35638
May-03,35225
Jun-03,35676
Jul-03,35957
Aug-03,35890
Sep-03,35918
Oct-03,35763
Nov-03,35679
Dec-03,35808
Jan-04,36402
Feb-04,35890
Mar-04,36365
Apr-04,36312
May-04,36528
Jun-04,36508
Jul-04,36526
Aug-04,36680
Sep-04,36951
Oct-04,37078
Nov-04,37286
Dec-04,37423
Jan-05,37628
Feb-05,37553
Mar-05,37645
Apr-05,38049
May-05,37908
Jun-05,38143
Jul-05,37960
Aug-05,38320
Sep-05,38577
Oct-05,38559
Nov-05,38508
Dec-05,38847
Jan-06,38254
Feb-06,38889
Mar-06,38866
Apr-06,38891
May-06,39242
Jun-06,39372
Jul-06,39411
Aug-06,39705
Sep-06,39356
Oct-06,40002
Nov-06,39989
Dec-06,40153
Jan-07,40253
Feb-07,40646
Mar-07,40572
Apr-07,40416
May-07,40740
Jun-07,40870
Jul-07,41044
Aug-07,40954
Sep-07,41095
Oct-07,41379
Nov-07,41868
Dec-07,41998
Jan-08,42159
Feb-08,42016
Mar-08,42168
Apr-08,42584
May-08,42549
Jun-08,42683
Jul-08,42899
Aug-08,43063
Sep-08,42834
Oct-08,42768
Nov-08,42496
Dec-08,42136
Jan-09,42771
Feb-09,42101
Mar-09,42069
Apr-09,42288
May-09,42300
Jun-09,42530
Jul-09,42480
Aug-09,42401
Sep-09,42691
Oct-09,42763
Nov-09,42808
Dec-09,43192
Jan-10,43028
Feb-10,43735
Mar-10,43304
Apr-10,43186
May-10,43266
Jun-10,42920
Jul-10,43052
Aug-10,43215
Sep-10,43646
Oct-10,43493
Nov-10,44077
Dec-10,44184
Jan-11,44684
Feb-11,44961
Mar-11,45068
Apr-11,45769
May-11,45321
Jun-11,45791
Jul-11,45797
Aug-11,46034
Sep-11,45887
Oct-11,46047
Nov-11,46185
Dec-11,46078
Jan-12,46201
Feb-12,46353
Mar-12,46800
Apr-12,46879
May-12,46873
Jun-12,46889
Jul-12,46910
Aug-12,47059
Sep-12,47131
Oct-12,47402
Nov-12,47310
Dec-12,47142
Jan-13,47283
Feb-13,47729
Mar-13,47624
Apr-13,47307
May-13,47800
Jun-13,47792
Jul-13,48101
Aug-13,48183
Sep-13,48290
Oct-13,48443
Nov-13,48493
Dec-13,48940
Jan-14,49128
Feb-14,49211
Mar-14,49246
Apr-14,49541
May-14,49771
Jun-14,50148
Jul-14,50370
Aug-14,50506
Sep-14,50728
Oct-14,50941
Nov-14,50964
Dec-14,51141
Jan-15,51286
Feb-15,51322
Mar-15,51273
Apr-15,51137
May-15,51192
Jun-15,51455
Jul-15,51572
Aug-15,51527
Sep-15,51419
Oct-15,51281
Nov-15,51545
Dec-15,51331
Jan-16,51600
Feb-16,51525
Mar-16,51175
Apr-16,51781
May-16,51959
Jun-16,52330
Jul-16,51978
Aug-16,52214
Sep-16,52510
Oct-16,52817
Nov-16,52833
Dec-16,53156
Jan-17,53258
Feb-17,53682
Mar-17,54112
Apr-17,54193
May-17,54312
Jun-17,54148
Jul-17,54190
Aug-17,54375
Sep-17,55071
Oct-17,55150
Nov-17,55249
Dec-17,55794
Jan-18,55355
Feb-18,55579
Mar-18,55731
Apr-18,55886
May-18,55899
Jun-18,55787
Jul-18,56139
Aug-18,55869
Sep-18,56153
Oct-18,56459
Nov-18,56558
Dec-18,56478
Jan-19,57507
Feb-19,56290
Mar-19,57371
Apr-19,57585
May-19,57682
Jun-19,58025
Jul-19,58772
Aug-19,58543
Sep-19,58062
Oct-19,58132
Nov-19,58160
Dec-19,58630
Jan-20,57998
Feb-20,58024
Mar-20,74190
Apr-20,64225
May-20,64804
Jun-20,63505
Jul-20,63727
Aug-20,62269
Sep-20,62182
Oct-20,61887
Nov-20,62705
Dec-20,62328
Jan-21,62919
Feb-21,63026
Mar-21,63134
Apr-21,63822
May-21,64404
Jun-21,64930
Jul-21,64978
Aug-21,66186
Sep-21,66731
Oct-21,67458
Nov-21,67550
Dec-21,68035
Jan-22,68441
Feb-22,68279
Mar-22,69098
Apr-22,69165
May-22,69926
Jun-22,NA
Jul-22,NA
Aug-22,NA
Sep-22,NA
Oct-22,NA
Nov-22,NA
Dec-22,NA
